RespondentID,U_Death,U_2,U_4,U_6,U_8,U_10
88,0.0,0.017456798842392644,0.059601239363315926,0.16134691924755515,0.40698271953695697,1.0
89,0.0,0.2860717915900585,0.9767101906591477,0.9992632859598236,0.9999997670305649,1.0
90,0.0,0.18402244022745837,0.6282919112055807,0.9877134633088492,0.9994505293750107,1.0
91,0.0,0.9968276141329153,0.9999898597267242,0.9999998913480936,0.9999999231715002,1.0
92,0.0,0.8042066949065366,0.9366721391789217,0.9979341346721692,0.9999346716022488,1.0
93,0.0,0.9511165993346565,0.9821757228003699,0.9965398001054534,0.9989057887173759,1.0
94,0.0,0.4906379893674859,0.7175459385201769,0.9011183255434705,0.9860160194913414,1.0
95,0.0,0.03353315770589155,0.11448936182865081,0.30993492778006093,0.7817822638056406,1.0
96,0.0,0.5491426098436742,0.8031075006435505,0.9205599885817092,0.9748788626568416,1.0
97,0.0,0.08487513090406919,0.12412778215583298,0.2188920651669424,0.4476732824409251,1.0
98,0.0,0.08487513090406919,0.12412778215583298,0.2188920651669424,0.4476732824409251,1.0
99,0.0,0.11802424967908666,0.40295999394324616,0.5347357364914864,0.8528705213432333,1.0
100,0.0,0.19485047176256184,0.6652611233265346,0.8828144284498652,0.9834274575399357,1.0
101,0.0,0.9953772389389137,0.9985348834938853,0.9999952160927642,0.9999998487195703,1.0
102,0.0,0.9667037616349102,0.9982718906197181,0.999302761510213,0.9997795138299936,1.0
103,0.0,0.2999262061768229,0.43863466702891696,0.7735065144339399,0.9283764710420779,1.0
104,0.0,0.8892686787930703,0.9183081316931112,0.9884155727282848,0.9999633668244328,1.0
105,0.0,0.4112649187949079,0.6014647836739089,0.68942752240201,0.9017883592228731,1.0
106,0.0,0.6422596516974366,0.9392888739516327,0.9882142411948834,0.9962730158222447,1.0
107,0.0,0.6288615435076018,0.9196944717165682,0.967599212236935,0.9897539712685002,1.0
108,0.0,0.5491426098436742,0.8031075006435505,0.9205599885817092,0.9748788626568416,1.0
109,0.0,0.10630450070735428,0.3629462680563494,0.4816367452677775,0.7681809050761421,1.0
110,0.0,0.1891828381032088,0.6459106116202091,0.8571359236744597,0.9548224122995154,1.0
111,0.0,0.9968273852289349,0.9999896300965895,0.9999996617156554,0.9999999893025098,1.0
112,0.0,0.08076151050507567,0.2757370444841666,0.7464496229474243,0.9641425618027436,1.0
113,0.0,0.2999262061768229,0.43863466702891696,0.7735065144339399,0.9283764710420779,1.0
114,0.0,0.5532160011411752,0.8090647347853529,0.8512070302715176,0.9529475315837509,1.0
115,0.0,1.0,1.0,1.0,1.0,1.0
116,0.0,0.4393315687441176,0.5658622041910152,0.8713341803426013,0.9593122952870154,1.0
117,0.0,0.8539640764770582,0.9946253411738625,0.9992186955429456,0.9999752929836966,1.0
118,0.0,0.9673455646209529,0.9989346519595506,0.9999662072541432,0.9999998931379547,1.0
119,0.0,0.7737449608866478,0.9011928802418587,0.9601343944159848,0.9873933886052584,1.0
120,0.0,0.19172156570541402,0.6545783698308292,0.7308181382651059,0.9148772212113211,1.0
121,0.0,0.2999262061768229,0.43863466702891696,0.7735065144339399,0.9283764710420779,1.0
122,0.0,0.49650502168106847,0.7261263283371272,0.8323205100030369,0.8814326955572456,1.0
123,0.0,0.9993068628327374,0.9996229713718335,0.9997691637618856,0.9998367741306857,1.0
